VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
,02/03/2021 05:57:00 AM,02/03/2021 06:18:00 AM,,,203,197,,7.8,24.86,2.75,0,0,0,,0.3,27.91,,,
2,02/03/2021 05:58:14 AM,02/03/2021 06:02:18 AM,N,1,74,41,1,0.93,5,0.5,0.5,0,0,,0.3,6.3,1,1,0
2,02/03/2021 05:58:19 AM,02/03/2021 06:47:36 AM,N,1,60,197,1,16.44,54,0.5,0.5,0,6.12,,0.3,61.42,1,1,0
2,02/03/2021 05:58:55 AM,02/03/2021 06:37:55 AM,N,1,213,197,1,15.87,48,0.5,0.5,0,6.12,,0.3,55.42,1,1,0
2,02/03/2021 06:01:42 AM,02/03/2021 06:29:49 AM,N,1,179,207,1,2.69,18.5,0,0.5,0,0,,0.3,19.3,1,1,0
,02/03/2021 06:02:00 AM,02/03/2021 06:21:00 AM,,,69,242,,4.72,17.5,0,0,1.37,0,,0.3,19.17,,,
,02/03/2021 06:04:00 AM,02/03/2021 06:25:00 AM,,,69,24,,4.18,25.46,2.75,0,0,0,,0.3,28.51,,,
1,02/03/2021 06:07:16 AM,02/03/2021 06:13:14 AM,N,1,74,75,1,1.6,7,0,0.5,0,0,,0.3,7.8,2,1,0
2,02/03/2021 06:08:04 AM,02/03/2021 06:20:56 AM,N,1,74,126,1,3.21,12.5,0,0.5,0,0,,0.3,13.3,2,1,0
2,02/03/2021 06:09:10 AM,02/03/2021 06:52:49 AM,N,1,74,197,1,14.47,46.5,0,0.5,0,6.12,,0.3,53.42,1,1,0
2,02/03/2021 06:15:58 AM,02/03/2021 06:59:01 AM,N,1,174,197,1,19.6,56.5,0,0.5,0,6.12,,0.3,63.42,1,1,0
,02/03/2021 06:17:00 AM,02/03/2021 06:37:00 AM,,,61,88,,5.45,17.64,0,0,4,0,,0.3,24.69,,,
1,02/03/2021 06:21:10 AM,02/03/2021 06:21:14 AM,N,1,74,74,1,1.6,2.5,0,0.5,0,0,,0.3,3.3,4,1,0
,02/03/2021 06:23:00 AM,02/03/2021 06:54:00 AM,,,188,29,,6.63,36.16,2.75,0,0,0,,0.3,39.21,,,
,02/03/2021 06:23:00 AM,02/03/2021 06:59:00 AM,,,26,140,,13.68,36.3,0,0,9.78,6.12,,0.3,55.25,,,
,02/03/2021 06:23:09 AM,02/03/2021 06:43:22 AM,,,166,162,,0,18.7,0,0.5,0,0,,0.3,24,,,
1,02/03/2021 06:23:46 AM,02/03/2021 06:49:28 AM,N,1,152,137,1,8,25.5,2.75,0.5,0,0,,0.3,29.05,1,1,2.75
2,02/03/2021 06:24:02 AM,02/03/2021 06:24:03 AM,N,5,264,264,1,0.24,12,0,0,0,0,,0.3,12.3,1,2,0
2,02/03/2021 06:26:18 AM,02/03/2021 07:05:16 AM,N,1,235,197,1,16.94,52,0,0.5,0,6.12,,0.3,58.92,1,1,0
,02/03/2021 06:28:00 AM,02/03/2021 07:14:00 AM,,,213,231,,13.78,48.69,2.75,0,0,0,,0.3,51.74,,,
1,02/03/2021 06:29:22 AM,02/03/2021 06:35:12 AM,N,1,74,75,1,1.5,6.5,0,0.5,2.15,0,,0.3,9.45,1,1,0
2,02/03/2021 06:30:16 AM,02/03/2021 06:48:08 AM,N,1,75,137,1,5.26,17.5,0,0.5,1.95,0,,0.3,23,1,1,2.75
2,02/03/2021 06:31:36 AM,02/03/2021 07:21:40 AM,N,1,18,197,1,16.67,55,0,0.5,0,6.12,,0.3,61.92,1,1,0
1,02/03/2021 06:31:50 AM,02/03/2021 06:35:41 AM,N,1,152,166,1,0.9,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,02/03/2021 06:34:37 AM,02/03/2021 07:19:08 AM,N,1,241,197,1,18.4,54,0,0.5,0,6.12,,0.3,60.92,1,1,0
,02/03/2021 06:35:00 AM,02/03/2021 07:18:00 AM,,,62,75,,13.16,36.71,2.75,0,0,0,,0.3,39.76,,,
,02/03/2021 06:36:00 AM,02/03/2021 06:52:00 AM,,,74,244,,5.01,17.54,0,0,1.96,0,,0.3,19.8,,,
,02/03/2021 06:36:00 AM,02/03/2021 06:49:00 AM,,,166,244,,2.78,12.45,0,0,2.8,0,,0.3,15.55,,,
,02/03/2021 06:37:00 AM,02/03/2021 07:19:00 AM,,,183,48,,16.02,50.17,2.75,0,0,0,,0.3,53.22,,,
2,02/03/2021 06:37:46 AM,02/03/2021 07:32:16 AM,N,1,134,197,1,15.17,50,0,0.5,0,0,,0.3,50.8,1,1,0
1,02/03/2021 06:39:56 AM,02/03/2021 06:48:48 AM,N,1,74,236,1,1.9,8,2.75,0.5,1.96,0,,0.3,13.51,1,1,2.75
,02/03/2021 06:41:00 AM,02/03/2021 07:02:00 AM,,,51,136,,5.67,24.62,2.75,0,0,0,,0.3,27.67,,,
1,02/03/2021 06:41:48 AM,02/03/2021 06:47:51 AM,N,1,41,238,1,1.2,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
,02/03/2021 06:42:00 AM,02/03/2021 07:36:00 AM,,,55,236,,20.61,48.56,2.75,0,0,6.12,,0.3,57.73,,,
,02/03/2021 06:43:00 AM,02/03/2021 07:16:00 AM,,,254,197,,15.66,53.53,2.75,0,0,6.12,,0.3,62.7,,,
,02/03/2021 06:45:00 AM,02/03/2021 07:33:00 AM,,,235,28,,18.08,47.46,2.75,0,0,0,,0.3,50.51,,,
